position,song,artist,genre,mood
5,Cupid - Twin Ver.,FIFTY FIFTY,Reggaeton,Romantic
6,Flowers,Miley Cyrus,Pop,Dreamy
7,Daylight,David Kushner,Pop,Peaceful
8,Kill Bill,SZA,Pop,Intense
9,As It Was,Harry Styles,Soundtrack,Reflective
10,TQG,KAROL G,Pop,Energetic
11,Classy 101,Feid & Young Miko,Hip-hop,Elegant
12,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Pop,Melancholic
13,AcrÃ³stico,Shakira,Pop,Melancholic
14,TQM,Fuerza Regida,Pop,Energetic
15,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Hip-hop,Dark
16,Calm Down (with Selena Gomez),Rema,Reggaeton,Relaxed
17,BESO,ROSALÃA & Rauw Alejandro,Pop,Romantic
18,Yandel 150,Yandel,Pop,Energetic
19,El Azul,Junior H & Peso Pluma,Pop,Nostalgic
20,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Nostalgic
21,Die For You (with Ariana Grande) - Remix,The Weeknd,Reggaeton,Passionate
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Regional,Deceptive
23,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
24,Anti-Hero,Taylor Swift,Pop,Angsty
25,Die For You,The Weeknd,Pop,Passionate
26,I Wanna Be Yours,Arctic Monkeys,Alternative,Romantic
27,Last Night,Morgan Wallen,Rock,Upbeat
28,All My Life (feat. J. Cole),Lil Durk & J. Cole,Pop,Introspective
29,Tattoo,Loreen,Rap,Passionate
30,Angels Like You,Miley Cyrus,Pop,Hopeful
31,I'm Good (Blue),David Guetta & Bebe Rexha,R&B,Positive
32,The Best,Tina Turner,Pop,Energetic
33,What's Love Got to Do with It - 2015 Remaster,Tina Turner,Pop,Empowering
34,Here With Me,d4vd,Dream-pop,Melancholic
35,Say Yes To Heaven,Lana Del Rey,Pop,Dreamy
36,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Indie,Energetic
37,People,Libianca,R&B,Energetic
38,Cruel Summer,Taylor Swift,Pop,Intense
39,Starboy,The Weeknd,Rap,Dark
40,Another Love,Tom Odell,Pop,Sad
41,golden hour,JVKE,Pop,Euphoric
42,Moonlight,Kali Uchis,Pop,Dreamy
43,Por las Noches,Peso Pluma,Hip-hop,Melancholy
44,I Ain't Worried,OneRepublic,Latin,Confident
45,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Reggaeton,Energetic
46,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
47,La Bachata,Manuel Turizo,Pop,Romantic
48,Unholy (feat. Kim Petras),Sam Smith,Pop,Dark
49,Hey Mor,Ozuna,Pop,Energetic
50,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Rock,Vulnerable
